 -1.874D-03  6.659D-01
 -1.723D-03  7.017D-01
 -3.286D-03  6.157D-01
 -2.298D-03  6.847D-01
 -7.318D-03  5.613D-01
 -2.966D-03  6.724D-01
 -2.011D-04  7.807D-01
 -3.146D-04  7.742D-01
 -4.225D-04  7.684D-01
 -5.441D-04  7.564D-01
 -6.577D-04  7.523D-01
 -8.301D-04  7.302D-01
 -9.383D-04  7.335D-01
 -1.244D-03  6.946D-01
 -1.285D-03  7.138D-01
 -1.939D-03  6.492D-01
 -1.716D-03  6.947D-01
 -3.343D-03  5.958D-01
 -2.241D-03  6.780D-01
 -7.304D-03  5.376D-01
 -2.842D-03  6.661D-01
 -1.837D-04  7.810D-01
 -2.853D-04  7.761D-01
 -3.852D-04  7.680D-01
 -4.836D-04  7.627D-01
 -6.039D-04  7.478D-01
 -7.069D-04  7.459D-01
 -8.863D-04  7.192D-01
 -9.742D-04  7.270D-01
 -1.300D-03  6.808D-01
 -1.302D-03  7.074D-01
 -1.994D-03  6.325D-01
 -1.703D-03  6.886D-01
 -3.385D-03  5.759D-01
 -2.184D-03  6.722D-01
 -7.266D-03  5.137D-01
 -2.726D-03  6.608D-01
 -1.683D-04  7.818D-01
 -2.615D-04  7.764D-01
 -3.492D-04  7.713D-01
 -4.436D-04  7.613D-01
 -5.347D-04  7.570D-01
 -6.560D-04  7.390D-01
 -7.478D-04  7.399D-01
 -9.358D-04  7.080D-01
 -1.003D-03  7.211D-01
 -1.348D-03  6.670D-01
 -1.311D-03  7.018D-01
 -2.039D-03  6.159D-01
 -1.685D-03  6.834D-01
 -3.414D-03  5.560D-01
 -2.127D-03  6.675D-01
 -7.207D-03  4.898D-01
 -2.618D-03  6.565D-01
 -1.551D-04  7.821D-01
 -2.399D-04  7.780D-01
 -3.214D-04  7.712D-01
 -4.017D-04  7.664D-01
 -4.937D-04  7.543D-01
 -5.778D-04  7.516D-01
 -7.017D-04  7.300D-01
 -7.819D-04  7.345D-01
 -9.793D-04  6.968D-01
 -1.025D-03  7.159D-01
 -1.390D-03  6.534D-01
 -1.316D-03  6.970D-01
 -2.076D-03  5.995D-01
 -1.664D-03  6.791D-01
 -3.429D-03  5.364D-01
 -2.070D-03  6.637D-01
 -7.129D-03  4.660D-01
 -2.516D-03  6.533D-01
 -1.434D-04  7.828D-01
 -2.218D-04  7.783D-01
