  Data: Real and imaginary indices of refraction for water at 27 C
  between 10 and 5000 cm-1.

  Reference: H. D. Downing and D. Williams, Optical constants of water
  in the infrared, J. Geophys. Res., vol. 80, pgs. 1656-1661, 1975.

  Format: wavenumber (cm-1), wavelength (microns), real and imaginary
  indices of refraction of water at 27 C.
  420 values   2x,f5.0,2x,f8.3,4x,f5.3,2x,f8.6


  cm-1   microns     real   imaginary
  2390.     4.184    1.340   .006730
  2400.     4.167    1.341   .006530
  2410.     4.149    1.342   .006310
  2420.     4.132    1.343   .006080
  2430.     4.115    1.344   .005860
  2440.     4.098    1.344   .005680
  2450.     4.082    1.345   .005490
  2460.     4.065    1.346   .005310
  2470.     4.049    1.347   .005120
  2480.     4.032    1.348   .004940
  2490.     4.016    1.348   .004790
  2500.     4.000    1.349   .004650
  2510.     3.984    1.350   .004500
  2520.     3.968    1.351   .004330
  2530.     3.953    1.352   .004220
  2540.     3.937    1.353   .004100
  2550.     3.922    1.354   .003990
  2560.     3.906    1.355   .003890
  2570.     3.891    1.357   .003780
  2580.     3.876    1.358   .003700
  2590.     3.861    1.358   .003630
  2600.     3.846    1.360   .003520
  2610.     3.831    1.361   .003480
  2620.     3.817    1.361   .003400
  2630.     3.802    1.363   .003390
  2640.     3.788    1.365   .003350
  2650.     3.774    1.366   .003360
  2660.     3.759    1.367   .003350
  2670.     3.745    1.369   .003400
  2680.     3.731    1.370   .003470
  2690.     3.717    1.371   .003550
  2700.     3.704    1.372   .003630
  2710.     3.690    1.374   .003760
  2720.     3.676    1.375   .003890
  2730.     3.663    1.377   .004050
  2740.     3.650    1.378   .004240
  2750.     3.636    1.379   .004490
  2760.     3.623    1.382   .004730
  2770.     3.610    1.383   .005060
  2780.     3.597    1.385   .005380
  2790.     3.584    1.387   .005790
  2800.     3.571    1.388   .006250
  2810.     3.559    1.390   .006830
  2820.     3.546    1.392   .007370
  2830.     3.534    1.394   .008070
  2840.     3.521    1.396   .008660
  2850.     3.509    1.398   .009410
  2860.     3.497    1.400   .010100
  2870.     3.484    1.403   .011000
  2880.     3.472    1.405   .011800
  2890.     3.460    1.407   .012800
  2900.     3.448    1.410   .013800
  2910.     3.436    1.413   .015100
  2920.     3.425    1.415   .016300
  2930.     3.413    1.418   .017700
  2940.     3.401    1.421   .019300
  2950.     3.390    1.425   .021000
  2960.     3.378    1.427   .022900
  2970.     3.367    1.431   .025000
  2980.     3.356    1.434   .026200
  2990.     3.344    1.437   .027900
  3000.     3.333    1.441   .029700
  3010.     3.322    1.444   .031500
  3020.     3.311    1.448   .034800
  3030.     3.300    1.451   .038500
  3040.     3.289    1.454   .042200
  3050.     3.279    1.457   .046200
  3060.     3.268    1.461   .050400
  3070.     3.257    1.464   .055000
  3080.     3.247    1.467   .060000
  3090.     3.236    1.472   .065300
  3100.     3.226    1.474   .071600
  3110.     3.215    1.477   .078500
  3120.     3.205    1.479   .085500
  3130.     3.195    1.482   .092000
  3140.     3.185    1.485   .099400
  3150.     3.175    1.486   .110000
  3160.     3.165    1.487   .117000
  3170.     3.155    1.487   .125000
  3180.     3.145    1.487   .134000
  3190.     3.135    1.486   .144000
  3200.     3.125    1.483   .153000
  3210.     3.115    1.480   .163000
  3220.     3.106    1.476   .173000
  3230.     3.096    1.471   .183000
  3240.     3.086    1.465   .195000
  3250.     3.077    1.457   .204000
  3260.     3.067    1.450   .212000
  3270.     3.058    1.442   .220000
  3280.     3.049    1.434   .228000
  3290.     3.040    1.426   .236000
  3300.     3.030    1.417   .243000
  3310.     3.021    1.407   .250000
  3320.     3.012    1.398   .255000
  3330.     3.003    1.386   .262000
  3340.     2.994    1.376   .267000
  3350.     2.985    1.364   .272000
  3360.     2.976    1.353   .276000
  3370.     2.967    1.342   .279000
  3380.     2.959    1.329   .282000
  3390.     2.950    1.317   .282000
  3400.     2.941    1.305   .281000
  3410.     2.933    1.293   .280000
  3420.     2.924    1.282   .276000
  3430.     2.915    1.271   .271000
  3440.     2.907    1.258   .265000
  3450.     2.899    1.246   .258000
  3460.     2.890    1.233   .249000
  3470.     2.882    1.220   .239000
  3480.     2.874    1.212   .229000
  3490.     2.865    1.199   .218000
  3500.     2.857    1.191   .206000
  3510.     2.849    1.183   .194000
  3520.     2.841    1.177   .180000
  3530.     2.833    1.171   .167000
  3540.     2.825    1.165   .154000
  3550.     2.817    1.161   .142000
  3560.     2.809    1.158   .131000
  3570.     2.801    1.154   .121000
  3580.     2.793    1.149   .112000
  3590.     2.786    1.144   .102000
  3600.     2.778    1.141   .092700
  3610.     2.770    1.139   .083600
  3620.     2.762    1.138   .074400
  3630.     2.755    1.138   .064900
  3640.     2.747    1.139   .054800
  3650.     2.740    1.144   .046200
  3660.     2.732    1.149   .038000
  3670.     2.725    1.157   .028200
  3680.     2.717    1.166   .020500
  3690.     2.710    1.172   .018600
  3700.     2.703    1.179   .016400
  3710.     2.695    1.185   .014500
  3720.     2.688    1.191   .012700
  3730.     2.681    1.195   .010500
  3740.     2.674    1.200   .008550
  3750.     2.667    1.205   .007320
  3760.     2.660    1.210   .006270
  3770.     2.653    1.214   .005360
  3780.     2.646    1.218   .004820
  3790.     2.639    1.221   .004370
  3800.     2.632    1.224   .004020
  3810.     2.625    1.227   .003300
  3820.     2.618    1.230   .002980
  3830.     2.611    1.232   .002700
  3840.     2.604    1.235   .002570
  3850.     2.597    1.238   .002480
  3860.     2.591    1.240   .002430
  3870.     2.584    1.241   .002390
  3880.     2.577    1.243   .002340
  3890.     2.571    1.246   .002310
  3900.     2.564    1.247   .002270
  3910.     2.558    1.249   .002240
  3920.     2.551    1.250   .002190
  3930.     2.545    1.252   .002150
  3940.     2.538    1.254   .002120
  3950.     2.532    1.255   .002100
  3960.     2.525    1.256   .002070
  3970.     2.519    1.257   .002050
  3980.     2.513    1.259   .002000
  3990.     2.506    1.260   .001950
  4000.     2.500    1.261   .001900
  4050.     2.469    1.265   .001560
  4100.     2.439    1.270   .001230
  4150.     2.410    1.274   .000968
  4200.     2.381    1.277   .000792
  4250.     2.353    1.280   .000652
  4300.     2.326    1.282   .000542
  4350.     2.299    1.285   .000465
  4400.     2.273    1.287   .000416
  4450.     2.247    1.289   .000376
  4500.     2.222    1.291   .000345
  4550.     2.198    1.293   .000338
  4600.     2.174    1.294   .000341
  4650.     2.151    1.295   .000359
  4700.     2.128    1.296   .000400
  4750.     2.105    1.298   .000452
  4800.     2.083    1.298   .000514
  4850.     2.062    1.300   .000617
  4900.     2.041    1.301   .000731
  4950.     2.020    1.301   .000900
  5000.     2.000    1.303   .001100

